table,name,function,definition
migration_activity_manifest_issue,migration_activity_manifest_issue_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_manifest_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_manifest_issue FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_mapping,migration_activity_mapping_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_mapping_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_mapping FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_plan,migration_activity_plan_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_plan_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_plan FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_receipt,migration_activity_receipt_append_only,reject_mutation,CREATE TRIGGER migration_activity_receipt_append_only BEFORE DELETE OR UPDATE ON public.migration_activity_receipt FOR EACH ROW EXECUTE FUNCTION reject_mutation()
migration_activity_receipt,migration_activity_receipt_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_receipt_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_receipt FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_result,migration_activity_result_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_result_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_result FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_result_issue,migration_activity_result_issue_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_result_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_result_issue FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_source,migration_activity_source_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_source_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_source FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_admitted_activity_choice,migration_admitted_activity_choice_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_choice_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_choice FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_import,migration_admitted_activity_import_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_import_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_import FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_issue,migration_admitted_activity_issue_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_manifest,migration_admitted_activity_manifest_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_manifest_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_manifest FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_manifest_issue,migration_admitted_activity_manifest_issue_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_manifest_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_manifest_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_mapping,migration_admitted_activity_mapping_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_mapping_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_mapping FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_plan,migration_admitted_activity_plan_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_plan_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_plan FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_receipt,migration_admitted_activity_receipt_append_only,reject_mutation,CREATE TRIGGER migration_admitted_activity_receipt_append_only BEFORE DELETE OR UPDATE ON public.migration_admitted_activity_receipt FOR EACH ROW EXECUTE FUNCTION reject_mutation()
migration_admitted_activity_receipt,migration_admitted_activity_receipt_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_receipt_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_receipt FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_result,migration_admitted_activity_result_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_result_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_result FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_result_issue,migration_admitted_activity_result_issue_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_result_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_result_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_activity_source,migration_admitted_activity_source_measure,crm_admitted_activity_measure_row,CREATE TRIGGER migration_admitted_activity_source_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_activity_source FOR EACH ROW EXECUTE FUNCTION crm_admitted_activity_measure_row()
migration_admitted_history_attempt,admitted_history_immutable,crm_admitted_history_immutable,CREATE TRIGGER admitted_history_immutable BEFORE DELETE OR UPDATE ON public.migration_admitted_history_attempt FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_immutable()
migration_admitted_history_attempt,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.migration_admitted_history_attempt FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
migration_admitted_history_candidate,admitted_history_evidence_insert,crm_admitted_history_evidence_insert,CREATE TRIGGER admitted_history_evidence_insert BEFORE INSERT ON public.migration_admitted_history_candidate FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_evidence_insert()
migration_admitted_history_candidate,admitted_history_immutable,crm_admitted_history_immutable,CREATE TRIGGER admitted_history_immutable BEFORE DELETE OR UPDATE ON public.migration_admitted_history_candidate FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_immutable()
migration_admitted_history_candidate,admitted_history_measure,crm_admitted_history_measure,CREATE TRIGGER admitted_history_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_history_candidate FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_measure()
migration_admitted_history_candidate,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.migration_admitted_history_candidate FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
migration_admitted_history_issue,admitted_history_evidence_insert,crm_admitted_history_evidence_insert,CREATE TRIGGER admitted_history_evidence_insert BEFORE INSERT ON public.migration_admitted_history_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_evidence_insert()
migration_admitted_history_issue,admitted_history_immutable,crm_admitted_history_immutable,CREATE TRIGGER admitted_history_immutable BEFORE DELETE OR UPDATE ON public.migration_admitted_history_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_immutable()
migration_admitted_history_issue,admitted_history_measure,crm_admitted_history_measure,CREATE TRIGGER admitted_history_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_admitted_history_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_measure()
migration_admitted_history_issue,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.migration_admitted_history_issue FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
